index,Time,CHARGE
G0135,11,0.0
G0135,12,0.0
G0135,13,0.0
G0135,14,0.0
G0135,15,0.0
G0135,16,0.0
G0135,17,0.0
G0135,18,0.0
G0135,19,0.0
G0135,20,0.0
G0135,21,0.0
G0135,22,0.0
G0135,23,0.0
G0135,24,0.0
G0156,1,0.0
G0156,2,0.0
G0156,3,0.0
G0156,4,0.0
G0156,5,0.0
G0156,6,0.0
G0156,7,0.0
G0156,8,0.0
G0156,9,0.0
G0156,10,0.0
G0156,11,0.0
G0156,12,0.0
G0156,13,0.0
G0156,14,0.0
G0156,15,0.0
G0156,16,0.0
G0156,17,0.0
G0156,18,0.0
G0156,19,0.0
G0156,20,0.0
G0156,21,0.0
G0156,22,0.0
G0156,23,0.0
G0156,24,0.0
G0158,1,0.0
G0158,2,0.0
G0158,3,0.0
G0158,4,0.0
G0158,5,0.0
G0158,6,0.0
G0158,7,0.0
G0158,8,0.0
G0158,9,0.0
G0158,10,0.0
G0158,11,0.0
G0158,12,0.0
G0158,13,0.0
G0158,14,0.0
G0158,15,0.0
G0158,16,0.0
G0158,17,0.0
G0158,18,0.0
G0158,19,0.0
G0158,20,0.0
G0158,21,0.0
G0158,22,0.0
G0158,23,0.0
G0158,24,0.0
G0161,1,0.0
G0161,2,0.0
G0161,3,0.0
G0161,4,0.0
G0161,5,0.0
G0161,6,0.0
G0161,7,0.0
G0161,8,0.0
G0161,9,0.0
G0161,10,0.0
G0161,11,0.0
G0161,12,0.0
G0161,13,0.0
G0161,14,0.0
G0161,15,0.0
G0161,16,0.0
G0161,17,0.0
G0161,18,0.0
G0161,19,0.0
G0161,20,0.0
G0161,21,0.0
G0161,22,0.0
G0161,23,0.0
G0161,24,0.0
G0214,1,0.0
G0214,2,0.0
G0214,3,0.0
G0214,4,0.0
G0214,5,0.0
G0214,6,0.0
G0214,7,0.0
G0214,8,0.0
G0214,9,0.0
G0214,10,0.0
G0214,11,0.0
G0214,12,0.0
G0214,13,0.0
G0214,14,0.0
G0214,15,0.0
G0214,16,0.0
G0214,17,0.0
G0214,18,0.0
G0214,19,0.0
G0214,20,0.0
G0214,21,0.0
G0214,22,0.0
G0214,23,0.0
G0214,24,0.0
G0221,1,0.0
G0221,2,0.0
G0221,3,0.0
G0221,4,0.0
G0221,5,0.0
G0221,6,0.0
G0221,7,0.0
G0221,8,0.0
G0221,9,0.0
G0221,10,0.0
G0221,11,0.0
G0221,12,0.0
G0221,13,0.0
G0221,14,0.0
G0221,15,0.0
G0221,16,0.0
G0221,17,0.0
G0221,18,0.0
G0221,19,0.0
G0221,20,0.0
G0221,21,0.0
G0221,22,0.0
G0221,23,0.0
G0221,24,0.0
G0222,1,0.0
G0222,2,0.0
G0222,3,0.0
G0222,4,0.0
G0222,5,0.0
G0222,6,0.0
G0222,7,0.0
G0222,8,0.0
G0222,9,0.0
G0222,10,0.0
G0222,11,0.0
G0222,12,0.0
