index,Time,GEN,CU
G0945,15,0.43893,0.0
G0945,16,0.43893,0.0
G0945,17,0.43893,0.0
G0945,18,0.43893,0.0
G0945,19,0.43893,0.0
G0945,20,0.43893,0.0
G0945,21,0.43893,0.0
G0945,22,0.43893,0.0
G0945,23,0.43893,0.0
G0945,24,0.43893,0.0
G0946,1,0.01463,0.0
G0946,2,0.01463,0.0
G0946,3,0.01463,0.0
G0946,4,0.01463,0.0
G0946,5,0.01463,0.0
G0946,6,0.01463,0.0
G0946,7,0.01463,0.0
G0946,8,0.01463,0.0
G0946,9,0.01463,0.0
G0946,10,0.01463,0.0
G0946,11,0.01463,0.0
G0946,12,0.01463,0.0
G0946,13,0.01463,0.0
G0946,14,0.01463,0.0
G0946,15,0.01463,0.0
G0946,16,0.01463,0.0
G0946,17,0.01463,0.0
G0946,18,0.01463,0.0
G0946,19,0.01463,0.0
G0946,20,0.01463,0.0
G0946,21,0.01463,0.0
G0946,22,0.01463,0.0
G0946,23,0.01463,0.0
G0946,24,0.01463,0.0
G0947,1,1.11195,0.0
G0947,2,1.11195,0.0
G0947,3,1.11195,0.0
G0947,4,1.11195,0.0
G0947,5,1.11195,0.0
G0947,6,1.11195,0.0
G0947,7,1.11195,0.0
G0947,8,1.11195,0.0
G0947,9,1.11195,0.0
G0947,10,1.11195,0.0
G0947,11,1.11195,0.0
G0947,12,1.11195,0.0
G0947,13,1.11195,0.0
G0947,14,1.11195,0.0
G0947,15,1.11195,0.0
G0947,16,1.11195,0.0
G0947,17,1.11195,0.0
G0947,18,1.11195,0.0
G0947,19,1.11195,0.0
G0947,20,1.11195,0.0
G0947,21,1.11195,0.0
G0947,22,1.11195,0.0
G0947,23,1.11195,0.0
G0947,24,1.11195,0.0
G0948,1,3.7455,0.0
G0948,2,3.7455,0.0
G0948,3,3.7455,0.0
G0948,4,3.7455,0.0
G0948,5,3.7455,0.0
G0948,6,3.7455,0.0
G0948,7,3.7455,0.0
G0948,8,3.7455,0.0
G0948,9,3.7455,0.0
G0948,10,3.7455,0.0
G0948,11,3.7455,0.0
G0948,12,3.7455,0.0
G0948,13,3.7455,0.0
G0948,14,3.7455,0.0
G0948,15,3.7455,0.0
G0948,16,3.7455,0.0
G0948,17,3.7455,0.0
G0948,18,3.7455,0.0
G0948,19,3.7455,0.0
G0948,20,3.7455,0.0
G0948,21,3.7455,0.0
G0948,22,3.7455,0.0
G0948,23,3.7455,0.0
G0948,24,3.7455,0.0
G0949,1,0.13256,0.0
G0949,2,0.13256,0.0
G0949,3,0.13256,0.0
G0949,4,0.13256,0.0
G0949,5,0.13256,0.0
G0949,6,0.13256,0.0
G0949,7,0.13256,0.0
G0949,8,0.13256,0.0
G0949,9,0.13256,0.0
G0949,10,0.13256,0.0
G0949,11,0.13256,0.0
G0949,12,0.13256,0.0
G0949,13,0.13256,0.0
G0949,14,0.13256,0.0
G0949,15,0.13256,0.0
G0949,16,0.13256,0.0
G0949,17,0.13256,0.0
G0949,18,0.13256,0.0
G0949,19,0.13256,0.0
G0949,20,0.13256,0.0
G0949,21,0.13256,0.0
G0949,22,0.13256,0.0
G0949,23,0.13256,0.0
G0949,24,0.13256,0.0
G0950,1,0.6145,0.0
G0950,2,0.6145,0.0
G0950,3,0.6145,0.0
G0950,4,0.6145,0.0
G0950,5,0.6145,0.0
G0950,6,0.6145,0.0
G0950,7,0.6145,0.0
G0950,8,0.6145,0.0
G0950,9,0.6145,0.0
G0950,10,0.6145,0.0
G0950,11,0.6145,0.0
G0950,12,0.6145,0.0
G0950,13,0.6145,0.0
G0950,14,0.6145,0.0
G0950,15,0.6145,0.0
G0950,16,0.6145,0.0
G0950,17,0.6145,0.0
G0950,18,0.6145,0.0
G0950,19,0.6145,0.0
G0950,20,0.6145,0.0
G0950,21,0.6145,0.0
G0950,22,0.6145,0.0
G0950,23,0.6145,0.0
G0950,24,0.6145,0.0
G0951,1,0.79007,0.0
G0951,2,0.79007,0.0
G0951,3,0.79007,0.0
G0951,4,0.79007,0.0
G0951,5,0.79007,0.0
G0951,6,0.79007,0.0
G0951,7,0.79007,0.0
G0951,8,0.79007,0.0
G0951,9,0.79007,0.0
G0951,10,0.79007,0.0
G0951,11,0.79007,0.0
G0951,12,0.79007,0.0
G0951,13,0.79007,0.0
G0951,14,0.79007,0.0
G0951,15,0.79007,0.0
G0951,16,0.79007,0.0
G0951,17,0.79007,0.0
G0951,18,0.79007,0.0
G0951,19,0.79007,0.0
G0951,20,0.79007,0.0
G0951,21,0.79007,0.0
G0951,22,0.79007,0.0
G0951,23,0.79007,0.0
G0951,24,0.79007,0.0
G0952,1,1.46309,0.0
G0952,2,1.46309,0.0
G0952,3,1.46309,0.0
G0952,4,1.46309,0.0
G0952,5,1.46309,0.0
G0952,6,1.46309,0.0
G0952,7,1.46309,0.0
G0952,8,1.46309,0.0
G0952,9,1.46309,0.0
G0952,10,1.46309,0.0
G0952,11,1.46309,0.0
G0952,12,1.46309,0.0
G0952,13,1.46309,0.0
G0952,14,1.46309,0.0
G0952,15,1.46309,0.0
G0952,16,1.46309,0.0
G0952,17,1.46309,0.0
G0952,18,1.46309,0.0
G0952,19,1.46309,0.0
G0952,20,1.46309,0.0
G0952,21,1.46309,0.0
G0952,22,1.46309,0.0
G0952,23,1.46309,0.0
G0952,24,1.46309,0.0
G0953,1,2.10685,0.0
G0953,2,2.10685,0.0
G0953,3,2.10685,0.0
G0953,4,2.10685,0.0
G0953,5,2.10685,0.0
G0953,6,2.10685,0.0
G0953,7,2.10685,0.0
G0953,8,2.10685,0.0
G0953,9,2.10685,0.0
G0953,10,2.10685,0.0
G0953,11,2.10685,0.0
G0953,12,2.10685,0.0
G0953,13,2.10685,0.0
G0953,14,2.10685,0.0
G0953,15,2.10685,0.0
G0953,16,2.10685,0.0
G0953,17,2.10685,0.0
G0953,18,2.10685,0.0
G0953,19,2.10685,0.0
G0953,20,2.10685,0.0
G0953,21,2.10685,0.0
G0953,22,2.10685,0.0
G0953,23,2.10685,0.0
G0953,24,2.10685,0.0
G0954,1,3.18953,0.0
G0954,2,3.18953,0.0
G0954,3,3.18953,0.0
G0954,4,3.18953,0.0
G0954,5,3.18953,0.0
G0954,6,3.18953,0.0
G0954,7,3.18953,0.0
G0954,8,3.18953,0.0
G0954,9,3.18953,0.0
G0954,10,3.18953,0.0
G0954,11,3.18953,0.0
G0954,12,3.18953,0.0
G0954,13,3.18953,0.0
G0954,14,3.18953,0.0
G0954,15,3.18953,0.0
G0954,16,3.18953,0.0
G0954,17,3.18953,0.0
G0954,18,3.18953,0.0
G0954,19,3.18953,0.0
G0954,20,3.18953,0.0
G0954,21,3.18953,0.0
G0954,22,3.18953,0.0
G0954,23,3.18953,0.0
G0954,24,3.18953,0.0
G0955,1,1.46309,0.0
G0955,2,1.46309,0.0
G0955,3,1.46309,0.0
G0955,4,1.46309,0.0
G0955,5,1.46309,0.0
G0955,6,1.46309,0.0
G0955,7,1.46309,0.0
G0955,8,1.46309,0.0
G0955,9,1.46309,0.0
G0955,10,1.46309,0.0
G0955,11,1.46309,0.0
G0955,12,1.46309,0.0
G0955,13,1.46309,0.0
G0955,14,1.46309,0.0
